operativo|id_casillero|padre|tipoc|tipoc__denominacion|casillero|orden|ok|nombre|tipovar|longitud|tipoe|aclaracion|salto|unidad_analisis|cantidad_resumen|irrepetible|despliegue|ver_id|optativo|orden_total|ultimo_ancestro|formulario_principal|var_name|var_name_especial|expresion_habilitar|valor_ns_nc|valor_sin_dato|leer|calculada|libre|especial
repsic211|SC7/777|SC7|O|opción|777|15|✔|S/D||||||||||||20;110;120;180;15|F:F2||||||||||
repsic211|SC8|MG|P|pregunta|SC8|190|✔|¿Completó ese nivel?|opciones|||Anote código||||true||||20;110;120;190|F:F2||sc8||||||||
repsic211|SC8/1|SC8|O|opción|1|1|✔|Sí||||||||||||20;110;120;190;1|F:F2||||||||||
repsic211|SC8/2|SC8|O|opción|2|2|✔|No||||||||||||20;110;120;190;2|F:F2||||||||||
repsic211|SC8/88|SC8|O|opción|88|3|✔|NS||||||||||||20;110;120;190;3|F:F2||||||||||
repsic211|SC8/99|SC8|O|opción|99|4|✔|NC||||||||||||20;110;120;190;4|F:F2||||||||||
repsic211|SC8/777|SC8|O|opción|777|5|✔|S/D||||||||||||20;110;120;190;5|F:F2||||||||||
repsic211|SC9|MG|P|pregunta|SC9|220|✔|La semana pasada, ¿cuántos días durmió en la calle?|opciones||G-S|||||true||||20;110;120;220|F:F2||sc9||||||||
repsic211|SC9/1|SC9|O|opción|1|1|✔|Todos los días||||||||||||20;110;120;220;1|F:F2||||||||||
repsic211|SC9/2|SC9|O|opción|2|2|✔|Sólo los días hábiles||||de lunes a viernes||||||||20;110;120;220;2|F:F2||||||||||
repsic211|SC9/3|SC9|O|opción|3|3|✔|Sólo el fin de semana||||||||||||20;110;120;220;3|F:F2||||||||||
repsic211|SC9/4|SC9|O|opción|4|4|✔|Algunos días||||||||||||20;110;120;220;4|F:F2||||||||||
repsic211|SC9/88|SC9|O|opción|88|5|✔|NS||||||||||||20;110;120;220;5|F:F2||||||||||
repsic211|SC9/99|SC9|O|opción|99|6|✔|NC||||||||||||20;110;120;220;6|F:F2||||||||||
repsic211|SC9/777|SC9|O|opción|777|7|✔|S/D||||||||||||20;110;120;220;7|F:F2||||||||||
repsic211|SC10|MG|P|pregunta|SC10|240|✔|Actualmente, ¿cuánto tiempo hace que vive en situación de calle?|opciones||G-S|Anote código||||true||||20;110;120;240|F:F2||sc10||||||||
repsic211|SC10/1|SC10|O|opción|1|1|✔|Menos de un mes||||||||||||20;110;120;240;1|F:F2||||||||||
repsic211|SC10/2|SC10|O|opción|2|2|✔|Entre un mes y seis meses||||||||||||20;110;120;240;2|F:F2||||||||||
repsic211|SC10/3|SC10|O|opción|3|3|✔|Más de seis meses a un año||||||||||||20;110;120;240;3|F:F2||||||||||
repsic211|SC10/4|SC10|O|opción|4|4|✔|Más de un año a tres años||||||||||||20;110;120;240;4|F:F2||||||||||
repsic211|SC10/5|SC10|O|opción|5|5|✔|Más de tres años||||||||||||20;110;120;240;5|F:F2||||||||||
repsic211|SC10/88|SC10|O|opción|88|6|✔|NS||||||||||||20;110;120;240;6|F:F2||||||||||
repsic211|SC10/99|SC10|O|opción|99|7|✔|NC||||||||||||20;110;120;240;7|F:F2||||||||||
repsic211|SC10/777|SC10|O|opción|777|10|✔|S/D||||||||||||20;110;120;240;10|F:F2||||||||||
repsic211|SC11|MG|P|pregunta|SC11|250|✔|¿Tiene algún documento de identidad?|opciones||E-S|Anote código||||true||||20;110;120;250|F:F2||sc11||||||||
repsic211|SC11/1|SC11|O|opción|1|1|✔|Si|||||SC13|||||||20;110;120;250;1|F:F2||||||||||
repsic211|SC11/2|SC11|O|opción|2|2|✔|En trámite|||||SC13|||||||20;110;120;250;2|F:F2||||||||||
repsic211|SC11/3|SC11|O|opción|3|3|✔|No||||||||||||20;110;120;250;3|F:F2||||||||||
repsic211|SC11/88|SC11|O|opción|88|4|✔|NS|||||SC14|||||||20;110;120;250;4|F:F2||||||||||
repsic211|SC11/99|SC11|O|opción|99|5|✔|NC|||||SC14|||||||20;110;120;250;5|F:F2||||||||||
repsic211|SC11/777|SC11|O|opción|777|10|✔|S/D||||||||||||20;110;120;250;10|F:F2||||||||||
repsic211|SC12|MG|P|pregunta|SC12|260|✔|¿Alguna vez tuvo DNI argentino?|opciones|||||||true||||20;110;120;260|F:F2||sc12||||||||
repsic211|SC12/1|SC12|O|opción|1|1|✔|Si|||||SC14|||||||20;110;120;260;1|F:F2||||||||||
repsic211|SC12/2|SC12|O|opción|2|2|✔|No|||||SC14|||||||20;110;120;260;2|F:F2||||||||||
repsic211|SC12/88|SC12|O|opción|88|10|✔|NS|||||SC14|||||||20;110;120;260;10|F:F2||||||||||
repsic211|SC12/99|SC12|O|opción|99|12|✔|NC|||||SC14|||||||20;110;120;260;12|F:F2||||||||||
repsic211|SC12/777|SC12|O|opción|777|20|✔|S/D||||||||||||20;110;120;260;20|F:F2||||||||||
repsic211|SC13|MG|P|pregunta|SC13|290|✔|¿Qué documento de identidad tiene (o está tramitando)?|opciones||G-S|Anote código||||true||||20;110;120;290|F:F2||sc13||||||||
repsic211|SC13/1|SC13|O|opción|1|1|✔|DNI/CI/LE/LC argentino||||||||||||20;110;120;290;1|F:F2||||||||||
repsic211|SC13/2|SC13|O|opción|2|2|✔|Pasaporte/Documento extranjero||||||||||||20;110;120;290;2|F:F2||||||||||
repsic211|SC13/3|SC13|O|opción|3|3|✔|Residencia precaria||||||||||||20;110;120;290;3|F:F2||||||||||
repsic211|SC13/4|SC13|O|opción|4|4|✔|Otro||||especificar||||||||20;110;120;290;4|F:F2||||||||||
repsic211|sc13_esp|SC13/4|P|pregunta|sc13_esp|1|✔||texto|pagina||||||true|solo_variable|-||20;110;120;290;4;1|F:F2||sc13_esp||||||||
repsic211|SC13/88|SC13|O|opción|88|5|✔|NS||||||||||||20;110;120;290;5|F:F2||||||||||
repsic211|SC13/99|SC13|O|opción|99|6|✔|NC||||||||||||20;110;120;290;6|F:F2||||||||||
repsic211|SC13/777|SC13|O|opción|777|7|✔|S/D||||||||||||20;110;120;290;7|F:F2||||||||||
repsic211|SC14|MG|P|pregunta|SC14|300|✔|¿Tiene Certificado de Discapacidad vigente?|opciones||G-S|Anote código||||true||||20;110;120;300|F:F2||sc14||||||||
repsic211|SC14/1|SC14|O|opción|1|1|✔|Si|||||SC16|||||||20;110;120;300;1|F:F2||||||||||
repsic211|SC14/2|SC14|O|opción|2|2|✔|No||||||||||||20;110;120;300;2|F:F2||||||||||
repsic211|SC14/88|SC14|O|opción|88|3|✔|NS|||||SC16|||||||20;110;120;300;3|F:F2||||||||||
repsic211|SC14/99|SC14|O|opción|99|4|✔|NC|||||SC16|||||||20;110;120;300;4|F:F2||||||||||
repsic211|SC14/777|SC14|O|opción|777|10|✔|S/D||||||||||||20;110;120;300;10|F:F2||||||||||
repsic211|SC15|MG|P|pregunta|SC15|320|✔|¿Alguna vez tuvo Certificado de Discapacidad?|opciones||G-S|Anote código||||true||||20;110;120;320|F:F2||sc15||||||||
repsic211|SC15/1|SC15|O|opción|1|1|✔|Si||||||||||||20;110;120;320;1|F:F2||||||||||
